CoinName,Coin,Time,Price,1h,24h,7d,24h Volume,Mkt Cap,Website
Bitcoin,BTC,2022/06/02/00:53,"$29,877.77",0.4%,-6.2%,0.8%,"$35,591,940,267","$569,001,624,438",https://www.coingecko.com/
Ethereum,ETH,2022/06/02/00:53,"$1,831.94",0.8%,-6.1%,-7.5%,"$19,920,296,364","$221,596,716,649",https://www.coingecko.com/
Tether,USDT,2022/06/02/00:53,$1.00,0.0%,0.1%,0.1%,"$54,815,332,649","$72,534,618,053",https://www.coingecko.com/
Usd-Coin,USDC,2022/06/02/00:53,$1.00,0.1%,-0.0%,0.1%,"$5,849,088,796","$54,072,438,827",https://www.coingecko.com/
Bnb,BNB,2022/06/02/00:53,$301.43,0.3%,-6.3%,-8.2%,"$1,768,228,300","$50,654,902,899",https://www.coingecko.com/
Xrp,XRP,2022/06/02/00:53,$0.399797,0.4%,-5.8%,-2.3%,"$1,524,477,690","$19,314,953,814",https://www.coingecko.com/
Cardano,ADA,2022/06/02/00:53,$0.555104,1.5%,-12.0%,6.5%,"$1,282,002,637","$18,744,362,732",https://www.coingecko.com/
Binance-Usd,BUSD,2022/06/02/00:53,$1.00,-0.2%,0.2%,0.0%,"$7,362,335,277","$18,167,724,148",https://www.coingecko.com/
Solana,SOL,2022/06/02/00:53,$40.42,0.5%,-12.1%,-18.6%,"$1,540,301,651","$13,719,294,295",https://www.coingecko.com/
Dogecoin,DOGE,2022/06/02/00:53,$0.081482901520,0.8%,-5.8%,-2.7%,"$722,376,744","$10,752,855,720",https://www.coingecko.com/
Polkadot,DOT,2022/06/02/00:53,$9.51,0.7%,-9.0%,-6.7%,"$585,097,325","$10,621,419,565",https://www.coingecko.com/
Wrapped-Bitcoin,WBTC,2022/06/02/00:53,"$29,875.71",0.4%,-6.1%,0.8%,"$454,611,266","$8,166,854,351",https://www.coingecko.com/
Tron,TRX,2022/06/02/00:53,$0.083715680876,-0.2%,-0.3%,3.9%,"$1,952,568,914","$7,806,521,063",https://www.coingecko.com/
Lido-Staked-Ether,STETH,2022/06/02/00:53,"$1,796.66",0.5%,-6.0%,-7.3%,"$31,013,330","$7,560,248,654",https://www.coingecko.com/
Avalanche,AVAX,2022/06/02/00:53,$23.97,0.5%,-9.9%,-17.3%,"$682,239,741","$6,506,933,109",https://www.coingecko.com/
Dai,DAI,2022/06/02/00:53,$1.00,-0.1%,0.1%,0.1%,"$269,566,571","$6,396,053,504",https://www.coingecko.com/
Shiba-Inu,SHIB,2022/06/02/00:53,$0.000010933150,0.5%,-7.5%,-6.8%,"$417,990,515","$6,000,965,718",https://www.coingecko.com/
Leo-Token,LEO,2022/06/02/00:53,$4.88,-0.5%,-8.2%,0.2%,"$3,412,709","$4,575,927,456",https://www.coingecko.com/
Cronos,CRO,2022/06/02/00:53,$0.179544,0.5%,-5.6%,-5.5%,"$31,332,948","$4,533,703,452",https://www.coingecko.com/
Litecoin,LTC,2022/06/02/00:53,$63.34,0.6%,-7.9%,-10.0%,"$653,894,978","$4,453,654,791",https://www.coingecko.com/
Polygon,MATIC,2022/06/02/00:53,$0.603359,0.9%,-9.6%,-8.7%,"$426,534,115","$4,144,902,805",https://www.coingecko.com/
Near,NEAR,2022/06/02/00:53,$5.37,1.1%,-10.1%,-10.1%,"$443,253,638","$3,769,221,926",https://www.coingecko.com/
Ftx-Token,FTT,2022/06/02/00:53,$26.96,0.3%,-7.1%,-9.5%,"$73,500,870","$3,667,424,927",https://www.coingecko.com/
Monero,XMR,2022/06/02/00:53,$199.18,0.6%,-0.7%,3.3%,"$195,921,675","$3,608,998,981",https://www.coingecko.com/
Bitcoin-Cash,BCH,2022/06/02/00:53,$186.54,-0.3%,-8.7%,-4.7%,"$927,574,673","$3,558,253,000",https://www.coingecko.com/
Stellar,XLM,2022/06/02/00:53,$0.137606,0.9%,-8.9%,3.4%,"$225,334,865","$3,427,896,823",https://www.coingecko.com/
Chainlink,LINK,2022/06/02/00:53,$6.95,1.1%,-9.1%,-4.0%,"$430,522,211","$3,241,022,395",https://www.coingecko.com/
Chain,XCN,2022/06/02/00:53,$0.181908,-0.2%,4.6%,85.1%,"$38,222,260","$3,087,180,921",https://www.coingecko.com/
Okb,OKB,2022/06/02/00:53,$11.55,0.3%,-5.8%,-9.6%,"$5,659,755","$3,003,863,215",https://www.coingecko.com/
Ethereum-Classic,ETC,2022/06/02/00:53,$22.18,0.4%,-7.2%,-9.0%,"$320,772,133","$2,996,580,000",https://www.coingecko.com/
Cosmos-Hub,ATOM,2022/06/02/00:53,$9.41,1.0%,-9.4%,-15.2%,"$271,799,665","$2,751,141,755",https://www.coingecko.com/
Algorand,ALGO,2022/06/02/00:53,$0.386325,0.9%,-6.6%,-7.5%,"$155,022,940","$2,651,508,668",https://www.coingecko.com/
Flow,FLOW,2022/06/02/00:53,$2.52,0.8%,-8.1%,-9.0%,"$51,023,964","$2,614,368,343",https://www.coingecko.com/
Uniswap,UNI,2022/06/02/00:53,$5.18,0.9%,-9.4%,-7.4%,"$137,108,121","$2,366,107,700",https://www.coingecko.com/
Vechain,VET,2022/06/02/00:53,$0.030730501804,0.7%,-7.0%,-3.0%,"$216,203,193","$2,049,908,139",https://www.coingecko.com/
Hedera,HBAR,2022/06/02/00:53,$0.090487214596,0.9%,-4.8%,-9.0%,"$38,077,339","$1,903,933,214",https://www.coingecko.com/
Theta-Fuel,TFUEL,2022/06/02/00:53,$0.061615630557,1.4%,-3.2%,-7.1%,"$76,447,917","$1,886,178,774",https://www.coingecko.com/
Apecoin,APE,2022/06/02/00:53,$6.14,0.3%,-9.6%,-18.1%,"$338,540,402","$1,796,702,133",https://www.coingecko.com/
Internet-Computer,ICP,2022/06/02/00:53,$7.66,1.1%,-8.0%,-2.9%,"$104,010,381","$1,792,908,339",https://www.coingecko.com/
Tezos,XTZ,2022/06/02/00:53,$1.95,0.5%,-7.3%,-7.6%,"$91,575,310","$1,736,482,018",https://www.coingecko.com/
Elrond,EGLD,2022/06/02/00:53,$75.83,0.2%,-7.0%,-16.4%,"$75,971,403","$1,700,784,539",https://www.coingecko.com/
Axie-Infinity,AXS,2022/06/02/00:53,$21.10,0.1%,-12.0%,-0.9%,"$320,856,899","$1,690,499,381",https://www.coingecko.com/
The-Sandbox,SAND,2022/06/02/00:53,$1.34,0.8%,-8.6%,1.9%,"$336,686,343","$1,645,854,066",https://www.coingecko.com/
Kucoin-Shares,KCS,2022/06/02/00:53,$16.69,1.1%,-7.0%,3.9%,"$10,485,619","$1,633,481,951",https://www.coingecko.com/
Filecoin,FIL,2022/06/02/00:53,$7.47,0.2%,-7.9%,-11.2%,"$192,658,212","$1,589,221,547",https://www.coingecko.com/
Aave,AAVE,2022/06/02/00:53,$107.23,1.1%,-6.0%,0.5%,"$343,189,178","$1,489,659,201",https://www.coingecko.com/
Decentraland,MANA,2022/06/02/00:53,$0.990217,0.2%,-9.9%,-4.9%,"$246,086,546","$1,482,554,002",https://www.coingecko.com/
Frax,FRAX,2022/06/02/00:53,$1.00,0.0%,0.3%,0.3%,"$18,126,690","$1,430,361,388",https://www.coingecko.com/
Compound-Ether,CETH,2022/06/02/00:53,$36.61,1.4%,-6.7%,-7.9%,$143.81,"$1,366,837,027",https://www.coingecko.com/
Eos,EOS,2022/06/02/00:53,$1.27,1.1%,-8.1%,-5.3%,"$360,714,350","$1,267,068,300",https://www.coingecko.com/
True-Usd,TUSD,2022/06/02/00:53,$1.00,-0.2%,0.0%,0.0%,"$122,650,290","$1,264,936,440",https://www.coingecko.com/
Theta-Network,THETA,2022/06/02/00:53,$1.21,0.8%,-10.3%,-4.9%,"$112,611,786","$1,210,297,761",https://www.coingecko.com/
